Q1,,,,Before receiving this survey did you know influenza is different from the stomach flu?
Q2,,,,Have you had an illness with influenza like symptoms since August 2015?
Q3,,,,Has any other person in your household had an illness with influenza like symptoms since August 2015?
Q4,,,,Does your job require you to have a lot of contact with the public?
Q5,,,,Do you have a car that you can use to travel to work?
Q6,,,,Do you regularly use public transportation?
Q7_1,[,Bus,],What types of public transportation do you regularly use? 
Q7_2,[,Carpool,],What types of public transportation do you regularly use? 
Q7_3,[,Subway,],What types of public transportation do you regularly use? 
Q7_4,[,Train,],What types of public transportation do you regularly use? 
Q7_5,[,Taxi,],What types of public transportation do you regularly use? 
Q7_6,[,Airplane,],What types of public transportation do you regularly use? 
Q7_7,[,"Other, please specify",],What types of public transportation do you regularly use? 
Q7_8,[,Refused,],What types of public transportation do you regularly use? 
Q7_otherText,,,,What types of public transportation do you regularly use? 
Q8_1,[,Work,],For what types of activities do you regularly use public transportation? 
Q8_2,[,School,],For what types of activities do you regularly use public transportation? 
Q8_3,[,Shopping,],For what types of activities do you regularly use public transportation? 
Q8_4,[,Visiting people,],For what types of activities do you regularly use public transportation? 
Q8_5,[,Recreation,],For what types of activities do you regularly use public transportation? 
Q8_6,[,"Other, please specify",],For what types of activities do you regularly use public transportation? 
Q8_7,[,Refused,],For what types of activities do you regularly use public transportation? 
Q8_otherText,,,,For what types of activities do you regularly use public transportation? 
Q9,,,,Do other members of your household regularly use public transportation?
Q10_1,[,Bus,],What types of public transportation do other members of your household regularly use? 
Q10_2,[,Carpool,],What types of public transportation do other members of your household regularly use? 
Q10_3,[,Subway,],What types of public transportation do other members of your household regularly use? 
Q10_4,[,Train,],What types of public transportation do other members of your household regularly use? 
Q10_5,[,Taxi,],What types of public transportation do other members of your household regularly use? 
Q10_6,[,Airplane,],What types of public transportation do other members of your household regularly use? 
Q10_7,[,Don’t know,],What types of public transportation do other members of your household regularly use? 
Q10_8,[,"Other, please specify",],What types of public transportation do other members of your household regularly use? 
Q10_9,[,Refused,],What types of public transportation do other members of your household regularly use? 
Q10_otherText,,,,What types of public transportation do other members of your household regularly use? 
Q11_1,[,Work :,],How do you rate your risk of getting influenza if you visited each of the following locations?
Q11_2,[,Schools :,],How do you rate your risk of getting influenza if you visited each of the following locations?
Q11_3,[,Day care :,],How do you rate your risk of getting influenza if you visited each of the following locations?
Q11_4,[,Stores :,],How do you rate your risk of getting influenza if you visited each of the following locations?
Q11_5,[,Restaurants :,],How do you rate your risk of getting influenza if you visited each of the following locations?
Q11_6,[,Libraries :,],How do you rate your risk of getting influenza if you visited each of the following locations?
Q11_7,[,Hospitals :,],How do you rate your risk of getting influenza if you visited each of the following locations?
Q11_8,[,Doctor’s office :,],How do you rate your risk of getting influenza if you visited each of the following locations?
